fbref_team_id,fbref_name_aliases,transfermarkt_club_id,transfermarkt_name,country,league,match_method,squad_share,name_score,needs_manual_review,notes
4ba7cbea,Bournemouth,989,AFC Bournemouth,England,Premier League,exact,0.97,1.0,no,squad overlap: 97% of 134 mapped players played for AFC Bournemouth
18bb7c10,Arsenal,11,Arsenal FC,England,Premier League,exact,0.889,1.0,no,squad overlap: 89% of 190 mapped players played for Arsenal FC
8602292d,Aston Villa,405,Aston Villa,England,Premier League,exact,0.957,1.0,no,squad overlap: 96% of 138 mapped players played for Aston Villa
cd051869,Brentford,1148,Brentford FC,England,Premier League,exact,1.0,1.0,no,squad overlap: 100% of 81 mapped players played for Brentford FC
d07537b9,Brighton,1237,Brighton & Hove Albion,England,Premier League,squad-overlap,0.972,0.571,no,"no name candidate above 0.60 (best 0.57: Brighton & Hove Albion); squad overlap: 97% of 179 mapped players played for Brighton & Hove Albion; identified by squad overlap only, names too different; accepted by Tyler on 2026-09-12: squad-overlap name match corroborated by squad overlap (97% of mapped players)"
943e8050,Burnley,1132,Burnley FC,England,Premier League,exact,0.98,1.0,no,squad overlap: 98% of 147 mapped players played for Burnley FC
75fae011,Cardiff City,603,Cardiff City,England,Premier League,exact,1.0,1.0,no,squad overlap: 100% of 25 mapped players played for Cardiff City
cff3d9bb,Chelsea,631,Chelsea FC,England,Premier League,exact,0.948,1.0,no,squad overlap: 95% of 193 mapped players played for Chelsea FC
47c64c55,Crystal Palace,873,Crystal Palace,England,Premier League,exact,0.966,1.0,no,squad overlap: 97% of 177 mapped players played for Crystal Palace
d3fd31cc,Everton,29,Everton FC,England,Premier League,exact,0.936,1.0,no,squad overlap: 94% of 188 mapped players played for Everton FC
fd962109,Fulham,931,Fulham FC,England,Premier League,exact,0.963,1.0,no,squad overlap: 96% of 109 mapped players played for Fulham FC
f5922ca5,Huddersfield,1110,Huddersfield Town,England,Premier League,fuzzy,1.0,0.828,no,name similarity 0.83 ('huddersfield' vs 'huddersfield town'); squad overlap: 100% of 53 mapped players played for Huddersfield Town; accepted by Tyler on 2026-09-12: fuzzy name match corroborated by squad overlap (100% of mapped players)
5bfb9659,Leeds United,399,Leeds United,England,Premier League,exact,0.949,1.0,no,squad overlap: 95% of 78 mapped players played for Leeds United
a2d435b3,Leicester City,1003,Leicester City,England,Premier League,exact,0.936,1.0,no,squad overlap: 94% of 156 mapped players played for Leicester City
822bd0ba,Liverpool,31,Liverpool FC,England,Premier League,exact,0.973,1.0,no,squad overlap: 97% of 185 mapped players played for Liverpool FC
