fbref_team_id,fbref_name,transfermarkt_club_id,transfermarkt_name,decision,decided_by,decided_on,reason
8d6fd021,Alavés,1108,Deportivo Alavés,accepted,Tyler,2026-09-12,squad-overlap name match corroborated by squad overlap (98% of mapped players)
69236f98,Angers,1420,Angers SCO,accepted,Tyler,2026-09-12,fuzzy name match corroborated by squad overlap (96% of mapped players)
247c4b67,Arminia,10,Arminia Bielefeld,accepted,Tyler,2026-09-12,squad-overlap name match corroborated by squad overlap (100% of mapped players)
922493f3,Atalanta,800,Atalanta BC,accepted,Tyler,2026-09-12,fuzzy name match corroborated by squad overlap (90% of mapped players)
2b390eca,Athletic Club,621,Athletic Bilbao,accepted,Tyler,2026-09-12,fuzzy name match corroborated by squad overlap (98% of mapped players)
db3b9613,Atlético Madrid,13,Atlético de Madrid,accepted,Tyler,2026-09-12,fuzzy name match corroborated by squad overlap (91% of mapped players)
fc536746,Betis,150,Real Betis Balompié,accepted,Tyler,2026-09-12,fuzzy name match corroborated by squad overlap (96% of mapped players)
123f3efe,Bordeaux,40,FC Girondins Bordeaux,accepted,Tyler,2026-09-12,fuzzy name match corroborated by squad overlap (94% of mapped players)
fb08dbb3,Brest,3911,Stade Brestois 29,accepted,Tyler,2026-09-12,squad-overlap name match corroborated by squad overlap (95% of mapped players)
d07537b9,Brighton,1237,Brighton & Hove Albion,accepted,Tyler,2026-09-12,squad-overlap name match corroborated by squad overlap (97% of mapped players)
f25da7fb,Celta Vigo,940,Celta de Vigo,accepted,Tyler,2026-09-12,fuzzy name match corroborated by squad overlap (96% of mapped players)
cc919b35,Chievo,862,Chievo Verona,accepted,Tyler,2026-09-12,fuzzy name match corroborated by squad overlap (100% of mapped players)
8dfb7350,Dijon,2969,Dijon FCO,accepted,Tyler,2026-09-12,fuzzy name match corroborated by squad overlap (97% of mapped players)
add600ae,Dortmund,16,Borussia Dortmund,accepted,Tyler,2026-09-12,fuzzy name match corroborated by squad overlap (95% of mapped players)
b1278397,Düsseldorf,38,Fortuna Düsseldorf,accepted,Tyler,2026-09-12,fuzzy name match corroborated by squad overlap (98% of mapped players)
f0ac8ee6,Eint Frankfurt,24,Eintracht Frankfurt,accepted,Tyler,2026-09-12,fuzzy name match corroborated by squad overlap (94% of mapped players)
a8661628,Espanyol,714,RCD Espanyol Barcelona,accepted,Tyler,2026-09-12,fuzzy name match corroborated by squad overlap (96% of mapped players)
421387cf,Fiorentina,430,ACF Fiorentina,accepted,Tyler,2026-09-12,fuzzy name match corroborated by squad overlap (87% of mapped players)
d41b5f53,Guingamp,855,EA Guingamp,accepted,Tyler,2026-09-12,fuzzy name match corroborated by squad overlap (98% of mapped players)
f5922ca5,Huddersfield,1110,Huddersfield Town,accepted,Tyler,2026-09-12,fuzzy name match corroborated by squad overlap (100% of mapped players)
d609edc0,Inter,46,Inter Milan,accepted,Tyler,2026-09-12,fuzzy name match corroborated by squad overlap (94% of mapped players)
