fbref_team_id,club_name,transfermarkt_club_id,country,country_source,league,leagues_in_window,seasons_in_window,city,city_source,wikidata_qid,crest_url,needs_manual_review,notes
4ba7cbea,AFC Bournemouth,989,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,5,Bournemouth,wikidata P159 headquarters (a settlement),Q19568,https://tmssl.akamaized.net/images/wappen/head/989.png,no,
18bb7c10,Arsenal FC,11,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,7,London,wikidata P159 headquarters (a settlement),Q9617,https://tmssl.akamaized.net/images/wappen/head/11.png,no,
8602292d,Aston Villa,405,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,5,Birmingham,wikidata P159 -> P131 (headquarters is not a settlement),Q18711,https://tmssl.akamaized.net/images/wappen/head/405.png,no,"headquarters is 'Aston' (suburb); city accepted by Tyler on 2026-09-12: Aston is a district of Birmingham, so Birmingham is right"
cd051869,Brentford FC,1148,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,3,London,wikidata P159 headquarters (a settlement),Q19571,https://tmssl.akamaized.net/images/wappen/head/1148.png,no,
d07537b9,Brighton & Hove Albion,1237,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,7,Brighton and Hove,wikidata P159 headquarters (a settlement),Q19453,https://tmssl.akamaized.net/images/wappen/head/1237.png,no,
943e8050,Burnley FC,1132,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,6,Burnley,wikidata P159 headquarters (a settlement),Q19458,https://tmssl.akamaized.net/images/wappen/head/1132.png,no,
cff3d9bb,Chelsea FC,631,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,7,London,wikidata P159 headquarters (a settlement),Q9616,https://tmssl.akamaized.net/images/wappen/head/631.png,no,
47c64c55,Crystal Palace,873,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,7,London,wikidata P159 headquarters (a settlement),Q19467,https://tmssl.akamaized.net/images/wappen/head/873.png,no,
d3fd31cc,Everton FC,29,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,7,Liverpool,wikidata P159 headquarters (a settlement),Q5794,https://tmssl.akamaized.net/images/wappen/head/29.png,no,
fd962109,Fulham FC,931,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,4,London,wikidata P159 headquarters (a settlement),Q18708,https://tmssl.akamaized.net/images/wappen/head/931.png,no,
f5922ca5,Huddersfield Town,1110,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,2,Huddersfield,wikidata P159 headquarters (a settlement),Q19473,https://tmssl.akamaized.net/images/wappen/head/1110.png,no,
5bfb9659,Leeds United,399,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,3,Leeds,wikidata P159 headquarters (a settlement),Q1128631,https://tmssl.akamaized.net/images/wappen/head/399.png,no,
a2d435b3,Leicester City,1003,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,6,Leicester,wikidata P159 headquarters (a settlement),Q19481,https://tmssl.akamaized.net/images/wappen/head/1003.png,no,
822bd0ba,Liverpool FC,31,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,7,Liverpool,wikidata P159 headquarters (a settlement),Q1130849,https://tmssl.akamaized.net/images/wappen/head/31.png,no,
e297cd13,Luton Town,1031,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,1,Luton,wikidata P159 headquarters (a settlement),Q18520,https://tmssl.akamaized.net/images/wappen/head/1031.png,no,
b8fd03ef,Manchester City,281,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,7,Manchester,wikidata P159 headquarters (a settlement),Q50602,https://tmssl.akamaized.net/images/wappen/head/281.png,no,
19538871,Manchester United,985,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,7,Manchester,wikidata P159 headquarters (a settlement),Q18656,https://tmssl.akamaized.net/images/wappen/head/985.png,no,
b2b47a98,Newcastle United,762,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,7,Newcastle upon Tyne,wikidata P159 headquarters (a settlement),Q18716,https://tmssl.akamaized.net/images/wappen/head/762.png,no,
1c781004,Norwich City,1123,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,2,Norwich,wikidata P159 headquarters (a settlement),Q18721,https://tmssl.akamaized.net/images/wappen/head/1123.png,no,
e4a775cb,Nottingham Forest,703,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,2,Nottingham,manual override,Q19490,https://tmssl.akamaized.net/images/wappen/head/703.png,no,"city overridden from 'West Bridgford' by Tyler on 2026-09-12: the City Ground is just outside the city boundary, in West Bridgford"
1df6b87e,Sheffield United,350,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,3,Sheffield,wikidata P159 headquarters (a settlement),Q19607,https://tmssl.akamaized.net/images/wappen/head/350.png,no,
33c895d4,Southampton FC,180,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,6,Southampton,wikidata P159 headquarters (a settlement),Q18732,https://tmssl.akamaized.net/images/wappen/head/180.png,no,
17892952,Stoke City,512,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,1,Stoke-on-Trent,wikidata P159 headquarters (a settlement),Q18736,https://tmssl.akamaized.net/images/wappen/head/512.png,no,
361ca564,Tottenham Hotspur,148,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,7,London,manual override,Q18741,https://tmssl.akamaized.net/images/wappen/head/148.png,no,city overridden from 'London Borough of Haringey' by Tyler on 2026-09-12: borough-level value; London for consistency with the other London clubs
2abfe087,Watford FC,1010,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,4,Watford,wikidata P159 headquarters (a settlement),Q2714,https://tmssl.akamaized.net/images/wappen/head/1010.png,no,
60c6b05f,West Bromwich Albion,984,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,2,West Bromwich,wikidata P159 headquarters (a settlement),Q18744,https://tmssl.akamaized.net/images/wappen/head/984.png,no,
7c21e445,West Ham United,379,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,7,London,manual override,Q18747,https://tmssl.akamaized.net/images/wappen/head/379.png,no,city overridden from 'London Borough of Newham' by Tyler on 2026-09-12: borough-level value; London for consistency with the other London clubs
8cec06e1,Wolverhampton Wanderers,543,England,league country (transfermarkt-datasets competitions),Premier League,Premier League,6,Wolverhampton,wikidata P159 headquarters (a settlement),Q19500,https://tmssl.akamaized.net/images/wappen/head/543.png,no,
7a54bb4f,AC Ajaccio,1147,France,league country (transfermarkt-datasets competitions),Ligue 1,Ligue 1,1,Ajaccio,wikidata P159 headquarters (a settlement),Q270051,https://tmssl.akamaized.net/images/wappen/head/1147.png,no,
5ae09109,AJ Auxerre,290,France,league country (transfermarkt-datasets competitions),Ligue 1,Ligue 1,1,Auxerre,wikidata P159 headquarters (a settlement),Q182876,https://tmssl.akamaized.net/images/wappen/head/290.png,no,
d298ef2c,AS Saint-Étienne,618,France,league country (transfermarkt-datasets competitions),Ligue 1,Ligue 1,5,Saint-Étienne,manual override,Q19521,https://tmssl.akamaized.net/images/wappen/head/618.png,no,"headquarters is 'Centre de l'Étrat' (association football training venue); city overridden from 'L'Étrat' by Tyler on 2026-09-12: Wikidata's headquarters is the club's training ground, not its city"
25622401,Amiens SC,1416,France,league country (transfermarkt-datasets competitions),Ligue 1,Ligue 1,3,Amiens,wikidata P159 headquarters (a settlement),Q866884,https://tmssl.akamaized.net/images/wappen/head/1416.png,no,
69236f98,Angers SCO,1420,France,league country (transfermarkt-datasets competitions),Ligue 1,Ligue 1,6,Angers,wikidata P159 headquarters (a settlement),Q845137,https://tmssl.akamaized.net/images/wappen/head/1420.png,no,
d9676424,Clermont Foot 63,3524,France,league country (transfermarkt-datasets competitions),Ligue 1,Ligue 1,3,Clermont-Ferrand,wikidata P159 headquarters (a settlement),Q870182,https://tmssl.akamaized.net/images/wappen/head/3524.png,no,
8dfb7350,Dijon FCO,2969,France,league country (transfermarkt-datasets competitions),Ligue 1,Ligue 1,4,Dijon,wikidata P159 headquarters (a settlement),Q503317,https://tmssl.akamaized.net/images/wappen/head/2969.png,no,
d41b5f53,EA Guingamp,855,France,league country (transfermarkt-datasets competitions),Ligue 1,Ligue 1,2,Guingamp,wikidata P159 headquarters (a settlement),Q459148,https://tmssl.akamaized.net/images/wappen/head/855.png,no,
54195385,ESTAC Troyes,1095,France,league country (transfermarkt-datasets competitions),Ligue 1,Ligue 1,3,Troyes,wikidata P159 headquarters (a settlement),Q501693,https://tmssl.akamaized.net/images/wappen/head/1095.png,no,
123f3efe,FC Girondins Bordeaux,40,France,league country (transfermarkt-datasets competitions),Ligue 1,Ligue 1,5,Bordeaux,manual override,Q172476,https://tmssl.akamaized.net/images/wappen/head/40.png,no,"city overridden from 'Le Haillan' by Tyler on 2026-09-12: Wikidata's headquarters is the club's training ground, not its city"
d2c87802,FC Lorient,1158,France,league country (transfermarkt-datasets competitions),Ligue 1,Ligue 1,4,Lorient,wikidata P159 headquarters (a settlement),Q48911,https://tmssl.akamaized.net/images/wappen/head/1158.png,no,
f83960ae,FC Metz,347,France,league country (transfermarkt-datasets competitions),Ligue 1,Ligue 1,5,Metz,wikidata P159 headquarters (a settlement),Q221525,https://tmssl.akamaized.net/images/wappen/head/347.png,no,
d7a486cd,FC Nantes,995,France,league country (transfermarkt-datasets competitions),Ligue 1,Ligue 1,7,Nantes,manual override,Q192071,https://tmssl.akamaized.net/images/wappen/head/995.png,no,"headquarters is 'Q2946059' (association football training venue; sports venue); city overridden from 'La Chapelle-sur-Erdre' by Tyler on 2026-09-12: Wikidata's headquarters is the club's training ground, not its city"
3f8c4b5f,FC Toulouse,415,France,league country (transfermarkt-datasets competitions),Ligue 1,Ligue 1,5,Toulouse,wikidata P159 headquarters (a settlement),Q19518,https://tmssl.akamaized.net/images/wappen/head/415.png,no,
