fbref_team_id,club,country,league,league_titles,domestic_cups,european_trophies,total_trophies
b8fd03ef,Manchester City,England,Premier League,6,6,1,13
e2d8892c,Paris Saint-Germain,France,Ligue 1,6,6,0,12
054efa67,Bayern Munich,Germany,Bundesliga,6,2,1,9
53a2f082,Real Madrid,Spain,La Liga,3,1,3,7
e0652b02,Juventus FC,Italy,Serie A,3,3,0,6
206d90db,FC Barcelona,Spain,La Liga,3,2,0,5
822bd0ba,Liverpool FC,England,Premier League,1,3,1,5
d609edc0,Inter Milan,Italy,Serie A,2,2,0,4
cff3d9bb,Chelsea FC,England,Premier League,0,1,2,3
db3b9613,Atlético de Madrid,Spain,La Liga,1,0,1,2
c7a9f859,Bayer 04 Leverkusen,Germany,Bundesliga,1,1,0,2
f0ac8ee6,Eintracht Frankfurt,Germany,Bundesliga,0,1,1,2
19538871,Manchester United,England,Premier League,0,2,0,2
acbb6a5b,RB Leipzig,Germany,Bundesliga,0,2,0,2
d48ad4ff,SSC Napoli,Italy,Serie A,1,1,0,2
ad2be733,Sevilla FC,Spain,La Liga,0,0,2,2
dc56fe14,AC Milan,Italy,Serie A,1,0,0,1
18bb7c10,Arsenal FC,England,Premier League,0,1,0,1
cf74a709,Associazione Sportiva Roma,Italy,Serie A,0,0,1,1
922493f3,Atalanta BC,Italy,Serie A,0,0,1,1
2b390eca,Athletic Bilbao,Spain,La Liga,0,1,0,1
add600ae,Borussia Dortmund,Germany,Bundesliga,0,1,0,1
d7a486cd,FC Nantes,France,Ligue 1,0,1,0,1
3f8c4b5f,FC Toulouse,France,Ligue 1,0,1,0,1
cb188c0c,LOSC Lille,France,Ligue 1,1,0,0,1
a2d435b3,Leicester City,England,Premier League,0,1,0,1
c0d3eab4,RC Strasbourg Alsace,France,Ligue 1,0,1,0,1
fc536746,Real Betis Balompié,Spain,La Liga,0,1,0,1
e31d1cd9,Real Sociedad,Spain,La Liga,0,1,0,1
7213da33,Società Sportiva Lazio S.p.A.,Italy,Serie A,0,1,0,1
b3072e00,Stade Rennais FC,France,Ligue 1,0,1,0,1
dcc91a7b,Valencia CF,Spain,La Liga,0,1,0,1
2a8183b3,Villarreal CF,Spain,La Liga,0,0,1,1
7c21e445,West Ham United,England,Premier League,0,0,1,1
18d9d2a7,1. Fußballclub Heidenheim 1846,Germany,Bundesliga,0,0,0,0
bc357bf7,1.FC Köln,Germany,Bundesliga,0,0,0,0
6f2c108c,1.FC Nuremberg,Germany,Bundesliga,0,0,0,0
7a41008f,1.FC Union Berlin,Germany,Bundesliga,0,0,0,0
