season_end_year,fbref_player_id,fbref_squad,player,minutes,file,column,value,kaggle_column
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_defense,Clr,24.0,Clearances
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_defense,Err,1.0,Errors made
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_defense,Pass_Blocks,8.0,Passes blocked
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_defense,Sh_Blocks,2.0,Shots blocked
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_defense,Tkl_Tackles,19.0,Tackles attempted
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_misc,Won_percent_Aerial,40.0,% Aerial Duels won
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_possession,Att_Take,7.0,Take ons attempted
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_possession,CPA_Carries,0.0,carries penalty area
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_possession,Def Pen_Touches,30.0,touches_def_pen
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_possession,Dis_Carries,7.0,Possessions lost
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_possession,Final_Third_Carries,7.0,carries final 3rd
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_possession,PrgC_Carries,4.0,carries_prgc
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_possession,Succ_percent_Take,85.7,% Successful take-ons
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_shooting,npxG_Expected,0.5,Exp NPG
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_shooting,xG_Expected,0.5,Expected Goals
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_standard,PrgC_Progression,4.0,Progressive Carries
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_standard,PrgP_Progression,33.0,Progressive Passes
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_standard,npxG_Expected,0.5,Exp NPG
2019,75e60d75,Sampdoria,Ronaldo Vieira,599,big5_player_standard,xG_Expected,0.5,Expected Goals
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_defense,Clr,31.0,Clearances
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_defense,Err,0.0,Errors made
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_defense,Pass_Blocks,12.0,Passes blocked
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_defense,Sh_Blocks,2.0,Shots blocked
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_defense,Tkl_Tackles,33.0,Tackles attempted
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_misc,Won_percent_Aerial,43.2,% Aerial Duels won
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_possession,Att_Take,22.0,Take ons attempted
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_possession,CPA_Carries,2.0,carries penalty area
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_possession,Def Pen_Touches,54.0,touches_def_pen
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_possession,Dis_Carries,27.0,Possessions lost
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_possession,Final_Third_Carries,22.0,carries final 3rd
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_possession,PrgC_Carries,29.0,carries_prgc
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_possession,Succ_percent_Take,54.5,% Successful take-ons
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_shooting,npxG_Expected,1.5,Exp NPG
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_shooting,xG_Expected,1.5,Expected Goals
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_standard,PrgC_Progression,29.0,Progressive Carries
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_standard,PrgP_Progression,126.0,Progressive Passes
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_standard,npxG_Expected,1.5,Exp NPG
2020,75e60d75,Sampdoria,Ronaldo Vieira,1819,big5_player_standard,xG_Expected,1.5,Expected Goals
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_defense,Clr,2.0,Clearances
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_defense,Err,0.0,Errors made
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_defense,Pass_Blocks,1.0,Passes blocked
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_defense,Sh_Blocks,3.0,Shots blocked
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_defense,Tkl_Tackles,5.0,Tackles attempted
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_misc,Won_percent_Aerial,66.7,% Aerial Duels won
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_possession,Att_Take,1.0,Take ons attempted
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_possession,CPA_Carries,0.0,carries penalty area
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_possession,Def Pen_Touches,6.0,touches_def_pen
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_possession,Dis_Carries,4.0,Possessions lost
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_possession,Final_Third_Carries,3.0,carries final 3rd
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_possession,PrgC_Carries,2.0,carries_prgc
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_possession,Succ_percent_Take,100.0,% Successful take-ons
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_shooting,G_per_SoT_Standard,0.0,Goals per shot on target
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_shooting,npxG_Expected,0.1,Exp NPG
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_shooting,xG_Expected,0.1,Expected Goals
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_standard,PrgC_Progression,2.0,Progressive Carries
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_standard,PrgP_Progression,15.0,Progressive Passes
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_standard,npxG_Expected,0.1,Exp NPG
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_standard,xG_Expected,0.1,Expected Goals
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_defense,Clr,10.0,Clearances
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_defense,Err,0.0,Errors made
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_defense,Pass_Blocks,0.0,Passes blocked
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_defense,Sh_Blocks,0.0,Shots blocked
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_defense,Tkl_Tackles,0.0,Tackles attempted
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_misc,Won_percent_Aerial,50.0,% Aerial Duels won
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_possession,Att_Take,0.0,Take ons attempted
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_possession,CPA_Carries,0.0,carries penalty area
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_possession,Def Pen_Touches,402.0,touches_def_pen
