fbref_team_id,club,country,manager_name,stint_seq,first_match_date,last_match_date,first_season,last_season,seasons_spanned,matches,league_matches,likely_caretaker,notes
4ba7cbea,AFC Bournemouth,England,Eddie Howe,1,2017-08-12,2020-07-26,2017/18,2019/20,3,119,114,no,
4ba7cbea,AFC Bournemouth,England,Jason Tindall,2,2021-01-09,2021-01-26,2020/21,2020/21,1,2,0,yes,
4ba7cbea,AFC Bournemouth,England,Jonathan Woodgate,3,2021-02-09,2021-03-20,2020/21,2020/21,1,2,0,yes,
4ba7cbea,AFC Bournemouth,England,Scott Parker,4,2022-01-08,2022-08-27,2021/22,2022/23,2,6,4,no,
4ba7cbea,AFC Bournemouth,England,Gary O'Neil,5,2022-08-31,2023-05-28,2022/23,2022/23,1,35,34,no,
4ba7cbea,AFC Bournemouth,England,Andoni Iraola,6,2023-08-12,2024-08-28,2023/24,2023/24,2,45,38,no,
18bb7c10,Arsenal FC,England,Arsène Wenger,1,2017-08-06,2018-05-13,2017/18,2017/18,1,54,38,no,
18bb7c10,Arsenal FC,England,Unai Emery,2,2018-08-12,2019-11-28,2018/19,2019/20,2,73,51,no,
18bb7c10,Arsenal FC,England,Freddie Ljungberg,3,2019-12-01,2019-12-21,2019/20,2019/20,1,6,5,no,
18bb7c10,Arsenal FC,England,Mikel Arteta,4,2019-12-26,2021-12-26,2019/20,2021/22,3,102,77,no,
18bb7c10,Arsenal FC,England,Albert Stuivenberg,5,2022-01-01,2022-01-01,2021/22,2021/22,1,1,1,yes,
18bb7c10,Arsenal FC,England,Mikel Arteta,6,2022-01-09,2024-05-19,2021/22,2023/24,3,119,94,no,
8602292d,Aston Villa,England,Steve Bruce,1,2018-01-06,2018-01-06,2017/18,2017/18,1,1,0,yes,
8602292d,Aston Villa,England,Dean Smith,2,2019-01-05,2021-01-01,2018/19,2020/21,3,55,53,no,
8602292d,Aston Villa,England,Mark Delaney,3,2021-01-08,2021-01-08,2020/21,2020/21,1,1,0,yes,
8602292d,Aston Villa,England,Dean Smith,4,2021-01-20,2021-11-05,2020/21,2021/22,2,34,34,no,
8602292d,Aston Villa,England,Steven Gerrard,5,2021-11-20,2022-10-20,2021/22,2022/23,2,39,38,no,
8602292d,Aston Villa,England,Aaron Danks,6,2022-10-23,2022-10-29,2022/23,2022/23,1,2,2,yes,
8602292d,Aston Villa,England,Unai Emery,7,2022-11-06,2024-05-19,2022/23,2023/24,2,82,63,no,
cd051869,Brentford FC,England,Dean Smith,1,2018-01-06,2018-01-06,2017/18,2017/18,1,1,0,yes,
