fbref_player_id,fbref_name,decision,club,canonical_fbref_player_id,transfermarkt_id,decided_by,decided_on,reason
a70b8345,Frederik Rønnow,relink,,a70b8345,107775,Tyler,2026-09-13,"wrongly shared Transfermarkt 91716 (Frederik Sørensen): same birth year, different person. 107775 is Frederik Rönnow, goalkeeper, Union Berlin"
05384ea1,Michel,relink,,05384ea1,77262,Tyler,2026-09-13,"wrongly shared Transfermarkt 186988 (Sven Michel). 77262 is Michel Macedo, defender, Las Palmas"
92b4758e,Samir Santos,relink,,92b4758e,255744,Tyler,2026-09-13,"wrongly shared Transfermarkt 220793 (Douglas Santos). 255744 is Samir Caetano, defender, Udinese and Watford"
30af8b93,Caio Henrique Oliveira Silva,relink,,30af8b93,420064,Tyler,2026-09-13,"wrongly shared Transfermarkt 258011 (Xande Silva). 420064 is Caio Henrique, defender, AS Monaco"
873ce3a2,Pape Cheikh Diop,relink,,873ce3a2,336828,Tyler,2026-09-13,"wrongly shared Transfermarkt 272622 (Issa Diop). 336828 is Pape Cheikh, midfielder, Lyon and Celta"
bcfc4473,Loum Ndiaye,relink,,bcfc4473,364237,Tyler,2026-09-13,"wrongly shared Transfermarkt 339820 (Amath Ndiaye). 364237 is Mamadou Loum, midfielder, Alavés"
c4f5eb61,Urko González,relink,,c4f5eb61,625651,Tyler,2026-09-13,"wrongly shared Transfermarkt 505675 (Rober González). 625651 is Urko González de Zárate, midfielder, Real Sociedad"
864163f3,Donyell Malen,merge,,116c35df,326029,Tyler,2026-09-13,"duplicate FBref page for one person: same name and birth year, Dortmund, no overlapping seasons"
e778654a,Yangel Herrera,merge,,5083a734,378293,Tyler,2026-09-13,"duplicate FBref page for one person: his Huesca, Granada and Espanyol seasons, then Girona; no overlap"
c8387671,Harvey Elliot,merge,,b9e1436c,565822,Tyler,2026-09-13,"duplicate FBref page for one person, misspelt 'Elliot': Fulham and Liverpool, no overlapping seasons"
1361e5bc,Cheick Konaté,merge,,6ce2cdf0,1108145,Tyler,2026-09-13,"duplicate FBref page for one person: Clermont 2022/23 and 2023/24"
ff4f78e1,Juan Sánchez,merge,,cc6de655,676042,Tyler,2026-09-13,"duplicate FBref page for one person: Juanlu, Sevilla 2021/22 and 2023/24"
674cfc5a,Espeto,merge,,ac4a4508,457673,Tyler,2026-09-13,"duplicate FBref page for Gabriel Strefezza: FBref 'Espeto' 2,110 minutes at SPAL 2019/20; Transfermarkt has Strefezza on 2,114 Serie A minutes there"
4acd733a,Valery,split,Girona,4acd733a,331496,Tyler,2026-09-13,"one FBref id holds two people; its Girona seasons are Valery Fernández (Transfermarkt 331496, attacker)"
4acd733a,Valery,split,Angers,531a4aa8,406008,Tyler,2026-09-13,"one FBref id holds two people; its Angers season is Yan Valery, merged into his own page 531a4aa8"
4acd733a,Valery,split,Southampton,531a4aa8,406008,Tyler,2026-09-13,"one FBref id holds two people; its Southampton season is Yan Valery, merged into his own page 531a4aa8"
