fbref_player_id,fbref_name,dictionary_tm_id,club_seasons_confirmed,club_seasons,minutes,confirmed_by,outcome,new_tm_id,reason,birth_year
e9fbcc21,Joaquín Muñoz,396334.0,1.0,2,42.0,,dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
6cbf8d0d,Abel Ruiz,340376.0,0.0,1,22.0,name and birth year ('Abel Ruiz'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
e8b5ad37,Till Cissokho,395228.0,0.0,1,78.0,name and birth year ('Till Cissokho'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
ae6941ec,Alexandre Lauray,666744.0,0.0,1,257.0,name and birth year ('Alexandre Lauray'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
6fea4e00,Driss Trichard,290595.0,0.0,1,90.0,name and birth year ('Driss Trichard'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
c1bcb2df,Riccardo Doratiotto,418881.0,0.0,1,78.0,name and birth year ('Riccardo Doratiotto'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
0497a545,Francesco Verde,395870.0,0.0,1,12.0,name and birth year ('Francesco Verde'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
7737dee2,Musa Juwara,562030.0,2.0,3,211.0,,dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
550985aa,Ibrahim Karamoko,538072.0,0.0,1,65.0,name and birth year ('Ibrahim Karamoko'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
fcd20025,Angelo Ndrecka,539220.0,0.0,1,90.0,name and birth year ('Angelo Ndrecka'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
b9e1436c,Harvey Elliott,565822.0,4.0,5,3339.0,,dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
1e1bea09,Paik Seung-ho,282689.0,0.0,1,60.0,name and birth year ('Seung-ho Paik'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
03e48abb,Matty Daly,566349.0,0.0,1,75.0,name and birth year ('Matty Daly'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
5ef608f7,Demeaco Duhaney,380913.0,0.0,1,45.0,name and birth year ('Demeaco Duhaney'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
4b6bcb0d,Aaron Rowe,657994.0,0.0,1,69.0,name and birth year ('Aaron Rowe'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
94230890,Paolo Gozzi Iweru,487333.0,0.0,1,90.0,name and birth year ('Paolo Gozzi'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
2a82aa85,Grigoris Kastanos,298635.0,3.0,4,4174.0,,dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
30144daa,Stephy Mavididi,340328.0,4.0,5,7030.0,,dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
bef22bc4,Matheus Pereira da Silva,323934.0,1.0,2,557.0,,dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
28237d7e,Luan Capanni,601877.0,0.0,1,9.0,name and birth year ('Luan Capanni'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
cfd41fad,Paul Wade,696851.0,0.0,1,8.0,name and birth year ('Paul Wade'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
0ee664db,Metehan Güçlü,395519.0,0.0,1,17.0,name and birth year ('Metehan Güçlü'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
868c6958,Žan Celar,340427.0,0.0,1,5.0,name and birth year ('Zan Celar'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
4701e130,Tyreke Johnson,404586.0,0.0,1,1.0,name and birth year ('Tyreke Johnson'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
059948df,Callum Slattery,332342.0,0.0,1,112.0,name and birth year ('Callum Slattery'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
54507986,Antonis Aidonis,405674.0,0.0,1,80.0,name and birth year ('Antonis Aidonis'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
aeaf1bc1,Leon Dajaku,483974.0,2.0,3,76.0,,dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
77128f7e,Luke Amos,258912.0,0.0,1,3.0,name and birth year ('Luke Amos'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
d4cb83cc,Nacho Monreal,43003.0,2.0,5,8846.0,,dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
1a7fcf39,Ezgjan Alioski,129604.0,0.0,1,2461.0,name and birth year ('Ezgjan Alioski'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
0bbab654,Guillem Molina,602156.0,0.0,1,153.0,name and birth year ('Guillem Molina'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
683a1d81,Mircea Alexandru Tirlea,319253.0,0.0,1,15.0,name and birth year ('Alexandru Țîrlea'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
ae48c5cb,Iván Martín,341278.0,2.0,3,4481.0,,dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
94b442c0,Noah Guede-Nadje,855160.0,0.0,1,3.0,name and birth year ('Guédé Nadje'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
3bb625ac,Edimilson Fernandes,247555.0,6.0,7,9150.0,,dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
e4ba67f2,Giorgio Cittadini,616628.0,2.0,3,125.0,,dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
f944979d,Alassane Sidibe,616638.0,0.0,1,6.0,name and birth year ('Alassane Sidibe'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
4d034881,Sergio Agüero,26399.0,4.0,5,6584.0,,dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
b8bd60fe,Ilias Akhomach,709969.0,1.0,2,1635.0,,dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
fa265f6d,Yusuf Demir,548031.0,0.0,1,192.0,name and birth year ('Yusuf Demir'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
ace50e9f,Estanis,913539.0,0.0,1,11.0,name and birth year ('Estanis Pedrola'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
2a9f6b4d,Jutglà,599231.0,0.0,1,301.0,name and birth year ('Ferran Jutglà'),dictionary id confirmed (the flag was a gap in Transfermarkt's appearance data),,,
