club_id,club_name,season_label,in_scope,page_arrivals,frozen_arrivals,page_arrivals_matched,page_fees_eur,frozen_fees_eur,fees_missing_from_frozen_eur,page_loan_fees_eur
2036,1. Fußballclub Heidenheim 1846,17/18,False,10,5,5,500000.0,500000.0,0.0,0.0
3,1.FC Köln,17/18,True,10,7,7,40000000.0,34000000.0,6000000.0,0.0
4,1.FC Nuremberg,17/18,False,15,6,6,3000000.0,1500000.0,1500000.0,100000.0
89,1.FC Union Berlin,17/18,False,15,6,5,1580000.0,550000.0,1030000.0,0.0
39,1.FSV Mainz 05,17/18,True,14,7,4,16550000.0,4750000.0,11800000.0,0.0
1147,AC Ajaccio,17/18,False,15,6,6,0.0,0.0,0.0,0.0
5,AC Milan,17/18,True,34,11,9,180980000.0,118300000.0,62680000.0,5500000.0
2919,AC Monza,17/18,False,17,1,1,0.0,0.0,0.0,0.0
430,ACF Fiorentina,17/18,True,43,19,15,77800000.0,46900000.0,30900000.0,1700000.0
989,AFC Bournemouth,17/18,True,10,4,3,34300000.0,34300000.0,0.0,0.0
290,AJ Auxerre,17/18,False,17,3,3,2350000.0,500000.0,1850000.0,0.0
162,AS Monaco,17/18,True,23,13,10,122400000.0,97400000.0,25000000.0,0.0
618,AS Saint-Étienne,17/18,True,20,8,6,19300000.0,5800000.0,13500000.0,0.0
1416,Amiens SC,17/18,True,18,7,4,6630000.0,1000000.0,5630000.0,0.0
1420,Angers SCO,17/18,True,17,8,7,12400000.0,5400000.0,7000000.0,0.0
10,Arminia Bielefeld,17/18,False,10,3,3,0.0,0.0,0.0,0.0
11,Arsenal FC,17/18,True,10,11,7,152850000.0,152850000.0,0.0,0.0
12,Associazione Sportiva Roma,17/18,True,49,23,18,85650000.0,62450000.0,23200000.0,5500000.0
405,Aston Villa,17/18,False,17,9,4,2800000.0,0.0,2800000.0,0.0
800,Atalanta BC,17/18,True,68,21,17,66590000.0,47790000.0,18800000.0,0.0
621,Athletic Bilbao,17/18,True,9,5,4,32000000.0,32000000.0,0.0,0.0
13,Atlético de Madrid,17/18,True,16,7,5,95600000.0,35600000.0,60000000.0,0.0
15,Bayer 04 Leverkusen,17/18,True,14,4,3,51000000.0,38500000.0,12500000.0,0.0
27,Bayern Munich,17/18,True,14,9,7,103500000.0,90500000.0,13000000.0,13000000.0
4171,Benevento Calcio,17/18,True,36,11,10,19280000.0,8500000.0,10780000.0,4200000.0
1025,Bologna Football Club 1909,17/18,True,33,11,7,13000000.0,3000000.0,10000000.0,0.0
16,Borussia Dortmund,17/18,True,15,15,11,121090000.0,121090000.0,0.0,1500000.0
18,Borussia Mönchengladbach,17/18,True,9,8,5,37250000.0,35000000.0,2250000.0,0.0
1148,Brentford FC,17/18,False,13,8,7,11320000.0,10320000.0,1000000.0,0.0
19,Brescia Calcio,17/18,False,40,3,3,3070000.0,0.0,3070000.0,150000.0
1237,Brighton & Hove Albion,17/18,True,21,9,7,70000000.0,24400000.0,45600000.0,0.0
1132,Burnley FC,17/18,True,18,6,6,35740000.0,25500000.0,10240000.0,0.0
331,CA Osasuna,17/18,False,16,6,5,4150000.0,2300000.0,1850000.0,0.0
1244,CD Leganés,17/18,True,20,12,10,6550000.0,5950000.0,600000.0,0.0
1390,Cagliari Calcio,17/18,True,34,7,6,31090000.0,21200000.0,9890000.0,0.0
603,Cardiff City,17/18,False,29,5,5,12670000.0,0.0,12670000.0,0.0
940,Celta de Vigo,17/18,True,15,12,8,26800000.0,22300000.0,4500000.0,0.0
631,Chelsea FC,17/18,True,34,21,16,260500000.0,222600000.0,37900000.0,0.0
862,Chievo Verona,17/18,True,54,12,9,2650000.0,1500000.0,1150000.0,300000.0
3524,Clermont Foot 63,17/18,False,13,4,4,0.0,0.0,0.0,0.0
873,Crystal Palace,17/18,True,15,7,7,55950000.0,53200000.0,2750000.0,0.0
2687,Cádiz CF,17/18,False,20,3,3,850000.0,0.0,850000.0,0.0
1108,Deportivo Alavés,17/18,True,21,7,7,12700000.0,6900000.0,5800000.0,0.0
897,Deportivo de La Coruña,17/18,True,21,6,6,9500000.0,7500000.0,2000000.0,0.0
2969,Dijon FCO,17/18,True,12,4,3,5500000.0,1500000.0,4000000.0,0.0
855,EA Guingamp,17/18,True,15,7,6,1375000.0,1375000.0,0.0,0.0
1095,ESTAC Troyes,17/18,True,9,1,1,0.0,0.0,0.0,0.0
24,Eintracht Frankfurt,17/18,True,17,9,9,23550000.0,20100000.0,3450000.0,650000.0
1531,Elche CF,17/18,False,25,3,3,4000.0,0.0,4000.0,0.0
29,Everton FC,17/18,True,22,18,14,203200000.0,180700000.0,22500000.0,0.0
167,FC Augsburg,17/18,True,13,6,4,7550000.0,6500000.0,1050000.0,0.0
131,FC Barcelona,17/18,True,12,10,8,388100000.0,348100000.0,40000000.0,0.0
4083,FC Crotone,17/18,True,32,9,7,2200000.0,300000.0,1900000.0,800000.0
749,FC Empoli,17/18,False,41,15,11,7750000.0,7400000.0,350000.0,44000.0
40,FC Girondins Bordeaux,17/18,True,24,14,11,32600000.0,15500000.0,17100000.0,0.0
1158,FC Lorient,17/18,False,16,4,3,4800000.0,2000000.0,2800000.0,0.0
347,FC Metz,17/18,True,22,7,5,3600000.0,0.0,3600000.0,0.0
995,FC Nantes,17/18,True,14,8,6,11300000.0,4300000.0,7000000.0,0.0
33,FC Schalke 04,17/18,True,18,9,7,48500000.0,28000000.0,20500000.0,800000.0
415,FC Toulouse,17/18,True,11,2,2,3500000.0,0.0,3500000.0,0.0
38,Fortuna Düsseldorf,17/18,False,16,4,4,650000.0,0.0,650000.0,230000.0
